Task: 1, Test Name: Search field should be displayed, DOM Id: INPUTtext____42, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Wishlist heart icon should be displayed, DOM Id: A__wishlist__52, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Grid View icon should not be displayed, DOM Id: I__tiviewgrid__203, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: List View icon should be displayed, DOM Id: I__tiviewlist__205, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Filters label should not be displayed, DOM Id: SPAN____209, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Fail
Task: 1, Test Name: Filters Open Icon should not be displayed, DOM Id: ti-filter, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Fail
Task: 1, Test Name: Add to Favorite icon should not be displayed for all products, DOM Id: I__tiheart__226, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Favorite icon should not be displayed for all products, DOM Id: I__tiheart__251, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Favorite icon should not be displayed for all products, DOM Id: I__tiheart__273, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Favorite icon should not be displayed for all products, DOM Id: I__tiheart__295, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Favorite icon should not be displayed for all products, DOM Id: I__tiheart__317, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Favorite icon should not be displayed for all products, DOM Id: I__tiheart__339, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Favorite icon should not be displayed for all products, DOM Id: I__tiheart__361, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Favorite icon should not be displayed for all products, DOM Id: I__tiheart__386, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Favorite icon should not be displayed for all products, DOM Id: I__tiheart__408, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Compare icon should not be displayed for all products, DOM Id: I__ticontrols__230, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Compare icon should not be displayed for all products, DOM Id: I__ticontrols__255, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Compare icon should not be displayed for all products, DOM Id: I__ticontrols__277, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Compare icon should not be displayed for all products, DOM Id: I__ticontrols__299, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Compare icon should not be displayed for all products, DOM Id: I__ticontrols__321, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Compare icon should not be displayed for all products, DOM Id: I__ticontrols__343, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Compare icon should not be displayed for all products, DOM Id: I__ticontrols__365, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Compare icon should not be displayed for all products, DOM Id: I__ticontrols__390, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Compare icon should not be displayed for all products, DOM Id: I__ticontrols__412, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Cart icon should not be displayed for all products, DOM Id: I__tishopping__234, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Cart icon should not be displayed for all products, DOM Id: I__tishopping__259, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Cart icon should not be displayed for all products, DOM Id: I__tishopping__281, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
Task: 1, Test Name: Add to Cart icon should not be displayed for all products, DOM Id: I__tishopping__303, Browser: chrome, Viewport: 1200x700, Device: laptop, Status: Pass
